,categoria,frecuencia,id,nombre,ocurrencias,pais,tipo_1,tipo_2,tipo_3,tipo_4
85,consumo,trimestral,Durablefense_USA,Durable Goods Orders ex Defense,15,USA,0.0,0.0,0.0,0.0
100,mercado laboral,trimestral,EmploytIndex_USA,Employment Cost Index,35,USA,0.0,0.0,0.0,0.0
86,mercado inmobiliario,mensual,ExistingeMoM_USA,Existing Home Sales Change MoM,120,USA,0.0,0.0,0.0,0.0
9,actividad economica,mensual,ExportdexMoM_USA,Export Price Index MoM,105,USA,0.0,0.0,0.0,0.0
47,actividad economica,mensual,ExportdexYoY_USA,Export Price Index YoY,94,USA,0.0,0.0,0.0,0.0
94,tasas de interes,mensual,FedIntcision_USA,Fed Interest Rate Decision,80,USA,0.0,0.0,0.0,0.0
99,actividad economica,mensual,"Fiscal,pesos_MEX","Fiscal Balance, pesos",101,MEX,0.0,0.0,0.0,0.0
50,actividad economica,trimestral,GoodsTalance_USA,Goods Trade Balance,55,USA,0.0,0.0,0.0,0.0
59,actividad economica,mensual,GrossDalized_USA,Gross Domestic Product Annualized,119,USA,0.0,0.0,0.0,0.0
4,actividad economica,mensual,GrossDeIndex_USA,Gross Domestic Product Price Index,119,USA,0.0,0.0,0.0,0.0
91,actividad economica,trimestral,GrossDuctQoQ_MEX,Gross Domestic Product QoQ,37,MEX,0.0,0.0,0.0,0.0
104,actividad economica,trimestral,GrossDuctYoY_MEX,Gross Domestic Product YoY,37,MEX,0.0,0.0,0.0,0.0
38,inflacion,mensual,Headlilation_MEX,Headline Inflation,103,MEX,0.0,0.0,0.0,0.0
3,mercado inmobiliario,trimestral,HousinChange_USA,Housing Starts Change,48,USA,0.0,0.0,0.0,0.0
105,actividad economica,mensual,IBDTIPismMoM_USA,IBDTIPP Economic Optimism MoM,119,USA,0.0,0.0,0.0,0.0
78,actividad economica,mensual,ISM-NYsIndex_USA,ISM-NY Business Conditions Index,120,USA,0.0,0.0,0.0,0.0
24,actividad economica,mensual,ISMManesPaid_USA,ISM Manufacturing Prices Paid,118,USA,0.0,0.0,0.0,0.0
110,actividad economica,mensual,IndustputMoM_MEX,Industrial Output MoM,120,MEX,0.0,0.0,0.0,0.0
82,actividad economica,mensual,IndustputYoY_MEX,Industrial Output YoY,104,MEX,0.0,0.0,0.0,0.0
